1.5 3
1.6 2.62284
1.7 2.31497
1.8 2.08625
1.9 1.92429
2 1.81211
2.1 1.73519
2.2 1.68267
2.3 1.6469
2.4 1.62256
2.5 1.606
2.6 1.59473
2.7 1.58707
2.8 1.58187
2.9 1.57832
3 1.57591
3.1 1.57428
3.2 1.57316
3.3 1.57241
3.4 1.57189
3.5 1.57154
3.6 1.5713
3.7 1.57114
3.8 1.57103
3.9 1.57096
4 1.5709
4.1 1.57087
4.2 1.57085
4.3 1.57083
4.4 1.57082
4.5 1.57081
4.6 1.57081
4.7 1.5708
4.8 1.5708
4.9 1.5708
5 1.5708
5.1 1.5708
5.2 1.5708
5.3 1.5708
5.4 1.5708
5.5 1.5708
5.6 1.5708
5.7 1.5708
5.8 1.5708
5.9 1.5708
6 1.5708
6.1 1.5708
6.2 1.5708
6.3 1.5708
6.4 1.5708
6.5 1.5708
6.6 1.5708
6.7 1.5708
6.8 1.5708
6.9 1.5708
7 1.5708
7.1 1.5708
7.2 1.5708
7.3 1.5708
7.4 1.5708
7.5 1.5708
7.6 1.5708
7.7 1.5708
7.8 1.5708
7.9 1.5708
8 1.5708
8.1 1.5708
8.2 1.5708
8.3 1.5708
8.4 1.5708
8.5 1.5708
8.6 1.5708
8.7 1.5708
8.8 1.5708
8.9 1.5708
9 1.5708
9.1 1.5708
9.2 1.5708
9.3 1.5708
9.4 1.5708
9.5 1.5708
9.6 1.5708
9.7 1.5708
9.8 1.5708
9.9 1.5708
10 1.5708
